date,ticker,price
12/31/2018,HD,171.82
11/30/2018,HD,180.32
10/31/2018,HD,175.88
9/30/2018,HD,207.15
12/31/2018,SPY,249.92
11/30/2018,SPY,275.65
10/31/2018,SPY,270.63
9/30/2018,SPY,290.72
